# This file was generated with ParaNMR v1.14.0 at 13:12:39 21-07-2026 
shift (ppm),intensity (a.u.)
-113.674232,0.000380
-113.671987,0.000380
-113.669741,0.000381
-113.667495,0.000381
-113.665249,0.000381
-113.663003,0.000381
-113.660758,0.000381
-113.658512,0.000381
-113.656266,0.000381
-113.654020,0.000381
-113.651775,0.000381
-113.649529,0.000381
-113.647283,0.000381
-113.645037,0.000381
-113.642791,0.000382
-113.640546,0.000382
-113.638300,0.000382
-113.636054,0.000382
-113.633808,0.000382
-113.631562,0.000382
-113.629317,0.000382
-113.627071,0.000382
-113.624825,0.000382
-113.622579,0.000382
-113.620334,0.000382
-113.618088,0.000382
-113.615842,0.000382
-113.613596,0.000383
-113.611350,0.000383
-113.609105,0.000383
-113.606859,0.000383
-113.604613,0.000383
-113.602367,0.000383
-113.600122,0.000383
-113.597876,0.000383
-113.595630,0.000383
-113.593384,0.000383
-113.591138,0.000383
-113.588893,0.000383
-113.586647,0.000383
-113.584401,0.000384
-113.582155,0.000384
-113.579909,0.000384
-113.577664,0.000384
-113.575418,0.000384
-113.573172,0.000384
-113.570926,0.000384
-113.568681,0.000384
-113.566435,0.000384
-113.564189,0.000384
-113.561943,0.000384
-113.559697,0.000384
-113.557452,0.000385
-113.555206,0.000385
-113.552960,0.000385
-113.550714,0.000385
-113.548468,0.000385
-113.546223,0.000385
-113.543977,0.000385
-113.541731,0.000385
-113.539485,0.000385
-113.537240,0.000385
-113.534994,0.000385
-113.532748,0.000385
-113.530502,0.000385
-113.528256,0.000386
-113.526011,0.000386
-113.523765,0.000386
-113.521519,0.000386
-113.519273,0.000386
-113.517028,0.000386
-113.514782,0.000386
-113.512536,0.000386
-113.510290,0.000386
-113.508044,0.000386
-113.505799,0.000386
-113.503553,0.000386
-113.501307,0.000387
-113.499061,0.000387
-113.496815,0.000387
-113.494570,0.000387
-113.492324,0.000387
-113.490078,0.000387
-113.487832,0.000387
-113.485587,0.000387
-113.483341,0.000387
-113.481095,0.000387
-113.478849,0.000387
-113.476603,0.000387
-113.474358,0.000388
-113.472112,0.000388
-113.469866,0.000388
-113.467620,0.000388
-113.465374,0.000388
-113.463129,0.000388
-113.460883,0.000388
-113.458637,0.000388
-113.456391,0.000388
-113.454146,0.000388
-113.451900,0.000388
-113.449654,0.000388
-113.447408,0.000388
-113.445162,0.000389
-113.442917,0.000389
-113.440671,0.000389
-113.438425,0.000389
-113.436179,0.000389
-113.433934,0.000389
-113.431688,0.000389
-113.429442,0.000389
-113.427196,0.000389
-113.424950,0.000389
-113.422705,0.000389
-113.420459,0.000389
-113.418213,0.000390
-113.415967,0.000390
-113.413721,0.000390
-113.411476,0.000390
-113.409230,0.000390
-113.406984,0.000390
-113.404738,0.000390
-113.402493,0.000390
-113.400247,0.000390
-113.398001,0.000390
-113.395755,0.000390
-113.393509,0.000390
-113.391264,0.000391
-113.389018,0.000391
-113.386772,0.000391
-113.384526,0.000391
-113.382280,0.000391
-113.380035,0.000391
-113.377789,0.000391
-113.375543,0.000391
-113.373297,0.000391
-113.371052,0.000391
-113.368806,0.000391
-113.366560,0.000391
-113.364314,0.000392
-113.362068,0.000392
-113.359823,0.000392
-113.357577,0.000392
-113.355331,0.000392
-113.353085,0.000392
-113.350840,0.000392
-113.348594,0.000392
-113.346348,0.000392
-113.344102,0.000392
-113.341856,0.000392
-113.339611,0.000392
-113.337365,0.000392
-113.335119,0.000393
-113.332873,0.000393
-113.330627,0.000393
-113.328382,0.000393
-113.326136,0.000393
-113.323890,0.000393
-113.321644,0.000393
-113.319399,0.000393
-113.317153,0.000393
-113.314907,0.000393
-113.312661,0.000393
-113.310415,0.000393
-113.308170,0.000394
-113.305924,0.000394
-113.303678,0.000394
-113.301432,0.000394
-113.299186,0.000394
-113.296941,0.000394
-113.294695,0.000394
-113.292449,0.000394
-113.290203,0.000394
-113.287958,0.000394
-113.285712,0.000394
-113.283466,0.000394
-113.281220,0.000395
-113.278974,0.000395
-113.276729,0.000395
-113.274483,0.000395
-113.272237,0.000395
-113.269991,0.000395
-113.267746,0.000395
-113.265500,0.000395
-113.263254,0.000395
-113.261008,0.000395
-113.258762,0.000395
-113.256517,0.000395
-113.254271,0.000396
-113.252025,0.000396
-113.249779,0.000396
-113.247533,0.000396
-113.245288,0.000396
-113.243042,0.000396
-113.240796,0.000396
-113.238550,0.000396
-113.236305,0.000396
-113.234059,0.000396
-113.231813,0.000396
-113.229567,0.000396
-113.227321,0.000397
-113.225076,0.000397
-113.222830,0.000397
-113.220584,0.000397
-113.218338,0.000397
-113.216092,0.000397
-113.213847,0.000397
-113.211601,0.000397
-113.209355,0.000397
-113.207109,0.000397
-113.204864,0.000397
-113.202618,0.000398
-113.200372,0.000398
-113.198126,0.000398
-113.195880,0.000398
-113.193635,0.000398
-113.191389,0.000398
-113.189143,0.000398
-113.186897,0.000398
-113.184652,0.000398
-113.182406,0.000398
-113.180160,0.000398
-113.177914,0.000398
-113.175668,0.000399
-113.173423,0.000399
-113.171177,0.000399
-113.168931,0.000399
-113.166685,0.000399
-113.164439,0.000399
-113.162194,0.000399
-113.159948,0.000399
-113.157702,0.000399
-113.155456,0.000399
-113.153211,0.000399
-113.150965,0.000399
-113.148719,0.000400
-113.146473,0.000400
-113.144227,0.000400
-113.141982,0.000400
-113.139736,0.000400
-113.137490,0.000400
-113.135244,0.000400
-113.132998,0.000400
-113.130753,0.000400
-113.128507,0.000400
-113.126261,0.000400
-113.124015,0.000400
-113.121770,0.000401
-113.119524,0.000401
-113.117278,0.000401
-113.115032,0.000401
-113.112786,0.000401
-113.110541,0.000401
-113.108295,0.000401
-113.106049,0.000401
-113.103803,0.000401
-113.101558,0.000401
-113.099312,0.000401
-113.097066,0.000402
-113.094820,0.000402
-113.092574,0.000402
-113.090329,0.000402
-113.088083,0.000402
-113.085837,0.000402
-113.083591,0.000402
-113.081345,0.000402
-113.079100,0.000402
-113.076854,0.000402
-113.074608,0.000402
-113.072362,0.000402
-113.070117,0.000403
-113.067871,0.000403
-113.065625,0.000403
-113.063379,0.000403
-113.061133,0.000403
-113.058888,0.000403
-113.056642,0.000403
-113.054396,0.000403
-113.052150,0.000403
-113.049904,0.000403
-113.047659,0.000403
-113.045413,0.000403
-113.043167,0.000404
-113.040921,0.000404
-113.038676,0.000404
-113.036430,0.000404
-113.034184,0.000404
-113.031938,0.000404
-113.029692,0.000404
-113.027447,0.000404
-113.025201,0.000404
-113.022955,0.000404
-113.020709,0.000404
-113.018464,0.000405
-113.016218,0.000405
-113.013972,0.000405
-113.011726,0.000405
-113.009480,0.000405
-113.007235,0.000405
-113.004989,0.000405
-113.002743,0.000405
-113.000497,0.000405
-112.998251,0.000405
-112.996006,0.000405
-112.993760,0.000406
-112.991514,0.000406
-112.989268,0.000406
-112.987023,0.000406
-112.984777,0.000406
-112.982531,0.000406
-112.980285,0.000406
-112.978039,0.000406
-112.975794,0.000406
-112.973548,0.000406
-112.971302,0.000406
-112.969056,0.000406
-112.966810,0.000407
-112.964565,0.000407
-112.962319,0.000407
-112.960073,0.000407
-112.957827,0.000407
-112.955582,0.000407
-112.953336,0.000407
-112.951090,0.000407
-112.948844,0.000407
-112.946598,0.000407
-112.944353,0.000407
-112.942107,0.000408
-112.939861,0.000408
-112.937615,0.000408
-112.935370,0.000408
-112.933124,0.000408
-112.930878,0.000408
-112.928632,0.000408
-112.926386,0.000408
-112.924141,0.000408
-112.921895,0.000408
-112.919649,0.000408
-112.917403,0.000408
-112.915157,0.000409
-112.912912,0.000409
-112.910666,0.000409
-112.908420,0.000409
-112.906174,0.000409
-112.903929,0.000409
-112.901683,0.000409
-112.899437,0.000409
-112.897191,0.000409
-112.894945,0.000409
-112.892700,0.000409
-112.890454,0.000410
-112.888208,0.000410
-112.885962,0.000410
-112.883716,0.000410
-112.881471,0.000410
-112.879225,0.000410
-112.876979,0.000410
-112.874733,0.000410
-112.872488,0.000410
-112.870242,0.000410
-112.867996,0.000410
-112.865750,0.000411
-112.863504,0.000411
-112.861259,0.000411
-112.859013,0.000411
-112.856767,0.000411
-112.854521,0.000411
-112.852276,0.000411
-112.850030,0.000411
-112.847784,0.000411
-112.845538,0.000411
-112.843292,0.000411
-112.841047,0.000412
-112.838801,0.000412
-112.836555,0.000412
-112.834309,0.000412
-112.832063,0.000412
-112.829818,0.000412
-112.827572,0.000412
-112.825326,0.000412
-112.823080,0.000412
-112.820835,0.000412
-112.818589,0.000412
-112.816343,0.000413
-112.814097,0.000413
-112.811851,0.000413
-112.809606,0.000413
-112.807360,0.000413
-112.805114,0.000413
-112.802868,0.000413
-112.800622,0.000413
-112.798377,0.000413
-112.796131,0.000413
-112.793885,0.000413
-112.791639,0.000413
-112.789394,0.000414
-112.787148,0.000414
-112.784902,0.000414
-112.782656,0.000414
-112.780410,0.000414
-112.778165,0.000414
-112.775919,0.000414
-112.773673,0.000414
-112.771427,0.000414
-112.769182,0.000414
-112.766936,0.000414
-112.764690,0.000415
-112.762444,0.000415
-112.760198,0.000415
-112.757953,0.000415
-112.755707,0.000415
-112.753461,0.000415
-112.751215,0.000415
-112.748969,0.000415
-112.746724,0.000415
-112.744478,0.000415
-112.742232,0.000415
-112.739986,0.000416
-112.737741,0.000416
-112.735495,0.000416
-112.733249,0.000416
-112.731003,0.000416
-112.728757,0.000416
-112.726512,0.000416
-112.724266,0.000416
-112.722020,0.000416
-112.719774,0.000416
-112.717528,0.000416
-112.715283,0.000417
-112.713037,0.000417
-112.710791,0.000417
-112.708545,0.000417
-112.706300,0.000417
-112.704054,0.000417
-112.701808,0.000417
-112.699562,0.000417
