# This file was generated with simple_pnmr v0.0.0 at 14:39:35 21-08-2024 
# Shifts are averaged by chem_label

atom_label (),chem_label (),x (Å),y (Å),z (Å),Aiso (ppm Å^-3),Adip_xx (ppm Å^-3),Adip_xy (ppm Å^-3),Adip_xz (ppm Å^-3),Adip_yy (ppm Å^-3),Adip_yz (ppm Å^-3),Adip_zz (ppm Å^-3),δ_total (ppm),δ_dia (ppm),δ_fc (ppm),δ_pc (ppm),linewidth (Hz)
C12,C12,5.35601,1.04063,6.12589,-1126.39748,-688.45777,-0.40019,546.65761,-2288.41174,-3.60170,2976.86950,0.00000,0.00000,0.00000,0.00000,1
C13,C13,6.04592,0.25617,5.84740,-93.11054,176.34977,0.40019,147.26940,-1008.60864,0.80038,832.25886,0.00000,0.00000,0.00000,0.00000,1
C14,C14,1.57089,6.67356,7.65075,-2059.50386,1466.42438,1572.34096,-1809.65279,952.18204,-609.08703,-2418.60642,0.00000,0.00000,0.00000,0.00000,1
C15,C15,1.07023,7.60898,7.85206,3287.94943,-518.64441,0.00000,348.16407,-629.09646,0.80038,1147.74087,0.00000,0.00000,0.00000,0.00000,1
C16,C16,4.09279,0.75572,6.62287,3741.36310,-737.54757,-302.14238,76.43602,1322.22309,108.05092,-584.67553,0.00000,0.00000,0.00000,0.00000,1
C17,C17,3.76446,-0.26827,6.74467,-2960.72856,1532.45550,-1816.45600,-1924.90710,980.19525,751.15398,-2512.65074,0.00000,0.00000,0.00000,0.00000,1
C18,C18,9.77145,5.46957,4.46412,1832.46354,-259.32220,-900.82451,-130.86167,815.58434,348.56426,-556.26214,0.00000,0.00000,0.00000,0.00000,1
C19,C19,11.89540,5.46976,6.07610,3416.14317,-138.19846,-0.40019,808.38095,-626.42853,-0.40019,764.62699,0.00000,0.00000,0.00000,0.00000,1
C20,C20,10.28890,5.46896,1.85073,-3.06811,-24.14471,-316.14898,-462.61801,1041.55750,106.85035,-1017.41278,0.00000,0.00000,0.00000,0.00000,1
C21,C21,9.55518,5.46969,5.77311,2814.25954,1099.98503,479.02574,-669.91569,-779.30057,-190.08958,-320.68445,0.00000,0.00000,0.00000,0.00000,1
C22,C22,8.73961,5.46957,3.62964,1833.39731,-260.25598,900.82451,-130.46148,816.65151,-348.16407,-556.39553,0.00000,0.00000,0.00000,0.00000,1
C23,C23,8.98930,5.46905,2.21623,-2447.28660,-651.37362,-1029.68523,-820.38660,3053.17213,436.60575,-2401.79850,0.00000,0.00000,0.00000,0.00000,1
C24,C24,10.68014,5.46946,6.66443,466.08631,983.39675,0.40019,-954.04959,36.95075,0.00000,-1020.34750,0.00000,0.00000,0.00000,0.00000,1
C25,C25,10.45791,5.46868,8.05444,3745.09819,-738.48134,301.34201,76.43602,1322.89007,-108.45111,-584.40873,0.00000,0.00000,0.00000,0.00000,1
C26,C26,7.90159,5.46852,1.32312,2817.19426,1100.65201,-477.82517,-670.31588,-779.83416,189.68939,-320.81785,0.00000,0.00000,0.00000,0.00000,1
C27,C27,12.96101,5.46916,6.86234,-3.60170,-24.01132,315.74880,-463.01819,1042.49127,-106.85035,-1018.47995,0.00000,0.00000,0.00000,0.00000,1
C28,C28,13.92944,5.46952,6.37789,894.82168,2334.30003,0.40019,-2304.28588,-3664.92708,0.00000,1330.62705,0.00000,0.00000,0.00000,0.00000,1
C29,C29,8.23260,5.46778,-0.04255,925.36941,4188.64054,-0.80038,-266.12541,-3673.86462,0.00000,-514.77592,0.00000,0.00000,0.00000,0.00000,1
C30,C30,7.46314,5.46747,-0.80236,-109.51828,2464.22792,0.80038,386.18199,-2670.59184,0.40019,206.36391,0.00000,0.00000,0.00000,0.00000,1
C31,C31,10.56529,5.46815,0.55559,-37.21754,1045.29259,2.00094,-1126.53087,-2612.43109,-0.80038,1567.13851,0.00000,0.00000,0.00000,0.00000,1
C32,C32,11.61150,5.46810,0.27591,2225.98232,4.66887,0.00000,-274.12918,-983.79694,-0.80038,979.12808,0.00000,0.00000,0.00000,0.00000,1
C33,C33,11.61116,5.46796,8.85661,2289.61230,711.00172,0.40019,539.05403,-981.39581,0.40019,270.39409,0.00000,0.00000,0.00000,0.00000,1
C34,C34,11.53781,5.46715,9.93511,-1091.71446,360.56992,-2.00094,1716.40885,-2218.64553,-3.20151,1858.07561,0.00000,0.00000,0.00000,0.00000,1
C35,C35,12.85546,5.46819,8.25905,-118.98941,338.29275,0.00000,316.14898,-1043.55844,0.80038,705.26569,0.00000,0.00000,0.00000,0.00000,1
C36,C36,13.75496,5.46770,8.85918,-1126.39748,-688.45777,0.40019,546.65761,-2288.41174,3.60170,2976.86950,0.00000,0.00000,0.00000,0.00000,1
C37,C37,9.56031,5.46752,-0.41985,-93.11054,176.34977,-0.40019,147.26940,-1008.60864,-0.80038,832.25886,0.00000,0.00000,0.00000,0.00000,1
C38,C38,9.83608,5.46683,-1.46544,3288.21622,-518.51101,0.00000,348.16407,-629.36325,-0.80038,1147.87426,0.00000,0.00000,0.00000,0.00000,1
C39,C39,11.65408,5.46923,3.73897,3416.27657,-138.33185,0.40019,808.38095,-626.16174,0.40019,764.49360,0.00000,0.00000,0.00000,0.00000,1
C40,C40,13.52422,5.46899,3.00854,-2962.72950,1531.65512,-1816.45600,-1924.50691,980.99562,751.15398,-2512.65074,0.00000,0.00000,0.00000,0.00000,1
C41,C41,12.06540,7.55854,3.58560,-2448.48717,-652.97438,-1026.88391,-819.18604,3052.77194,436.60575,-2399.79756,0.00000,0.00000,0.00000,0.00000,1
C42,C42,12.06414,3.38028,3.58626,-2056.16896,1467.49155,1570.34001,-1808.85241,949.64752,-608.28665,-2417.13906,0.00000,0.00000,0.00000,0.00000,1
C43,C43,14.12115,4.29735,2.76928,-2059.37047,1466.29098,-1572.34096,-1809.65279,952.04865,609.08703,-2418.33963,0.00000,0.00000,0.00000,0.00000,1
C44,C44,11.25771,8.56843,3.91101,3741.36310,-737.54757,302.14238,76.43602,1322.22309,-108.05092,-584.67553,0.00000,0.00000,0.00000,0.00000,1
C45,C45,10.28034,8.30501,4.29385,-2960.72856,1532.45550,1816.45600,-1924.90710,980.19525,-751.15398,-2512.65074,0.00000,0.00000,0.00000,0.00000,1
C46,C46,13.29742,7.82636,3.10085,1832.46354,-259.32220,900.82451,-130.86167,815.58434,-348.56426,-556.26214,0.00000,0.00000,0.00000,0.00000,1
C47,C47,13.29602,3.11172,3.10144,-3.06811,-24.14471,316.14898,-462.61801,1041.55750,-106.85035,-1017.41278,0.00000,0.00000,0.00000,0.00000,1
C48,C48,11.63106,9.89841,3.77398,2814.25954,1099.98503,-479.02574,-669.91569,-779.30057,190.08958,-320.68445,0.00000,0.00000,0.00000,0.00000,1
C49,C49,10.94167,10.68330,4.05254,1833.39731,-260.25598,-900.82451,-130.46148,816.65151,348.16407,-556.39553,0.00000,0.00000,0.00000,0.00000,1
C50,C50,14.12190,6.64017,2.76899,-2447.28660,-651.37362,1029.68523,-819.98641,3053.17213,-436.20556,-2401.79850,0.00000,0.00000,0.00000,0.00000,1
C51,C51,13.73875,9.13462,2.93480,466.08631,983.39675,-0.40019,-954.04959,36.95075,0.00000,-1020.34750,0.00000,0.00000,0.00000,0.00000,1
C52,C52,14.72582,9.33854,2.54664,3745.09819,-738.48134,-301.34201,76.43602,1322.89007,108.45111,-584.40873,0.00000,0.00000,0.00000,0.00000,1
C53,C53,12.89442,10.18254,3.27689,2817.32765,1100.51861,477.82517,-670.31588,-779.96756,-189.68939,-320.55106,0.00000,0.00000,0.00000,0.00000,1
C54,C54,13.22328,11.20636,3.15492,-3.73509,-23.87792,-315.74880,-463.01819,1042.62466,106.85035,-1018.74675,0.00000,0.00000,0.00000,0.00000,1
