1242.459672	0.611889
1242.452098	0.126719
1242.444523	-0.358452
1242.436948	-0.843622
1242.429373	-1.328793
1242.421798	-2.074915
1242.414224	-2.821038
1242.406649	-3.567162
1242.399074	-4.313285
1242.391499	-4.249097
1242.383925	-4.184909
1242.376350	-4.120720
1242.368775	-4.056532
1242.361200	-3.474212
1242.353625	-2.891892
1242.346051	-2.309572
1242.338476	-1.727252
1242.330901	-1.456591
1242.323326	-1.185928
1242.315751	-0.915267
1242.308177	-0.644605
1242.300602	-1.011625
1242.293027	-1.378645
1242.285452	-1.745666
1242.277878	-2.112685
1242.270303	-2.791364
1242.262728	-3.470042
1242.255153	-4.511024
1242.247578	-5.552005
1242.240004	-6.472218
1242.232429	-7.205437
1242.224854	-7.576353
1242.217279	-7.635611
1242.209704	-7.562413
1242.202130	-7.177558
1242.194555	-6.430400
1242.186980	-5.496247
1242.179405	-4.245018
1242.171831	-2.993790
1242.164256	-1.730874
1242.156681	-0.467958
1242.149106	0.397593
1242.141531	1.263145
1242.133957	2.128696
1242.126382	2.994249
1242.118807	2.955992
1242.111232	2.917734
1242.103657	2.879477
1242.096083	2.841219
1242.088508	2.491304
1242.080933	2.141388
1242.073358	1.791473
1242.065784	1.441557
1242.058209	1.375787
1242.050634	1.310016
1242.043059	1.244245
1242.035484	1.178474
1242.027910	1.112703
1242.020335	1.046932
1242.012760	0.981161
1242.005185	0.915391
1241.997610	0.830141
1241.990036	0.744892
1241.982461	0.659642
1241.974886	0.574392
1241.967311	0.302148
1241.959737	0.029903
1241.952162	-0.242341
1241.944587	-0.514585
1241.937012	-0.510963
1241.929437	-0.507341
1241.921863	-0.503719
1241.914288	-0.500098
1241.906713	-0.496476
1241.899138	-0.492854
1241.891563	-0.489232
1241.883989	-0.485611
1241.876414	-0.797543
1241.868839	-1.109475
1241.861264	-1.421407
1241.853690	-1.733339
1241.846115	-2.045271
1241.838540	-2.357203
1241.830965	-2.669136
1241.823390	-2.981068
1241.815816	-2.566203
1241.808241	-2.151339
1241.800666	-1.755953
1241.793091	-1.360567
1241.785516	-1.136593
1241.777942	-1.224277
1241.770367	-1.654785
1241.762792	-2.272288
1241.755217	-2.769025
1241.747643	-3.265760
1241.740068	-3.859889
1241.732493	-4.267023
1241.724918	-4.311854
1241.717343	-4.045028
1241.709769	-3.423690
1241.702194	-2.615356
1241.694619	-1.670703
1241.687044	-0.726050
1241.679469	-0.229405
1241.671895	-0.044419
1241.664320	-0.112656
1241.656745	-0.367887
1241.649170	-0.630909
1241.641596	-0.706937
1241.634021	-0.412870
1241.626446	0.068192
1241.618871	0.455755
1241.611296	0.843320
1241.603722	1.242571
1241.596147	1.641822
1241.588572	2.041073
1241.580997	2.440325
1241.573422	2.426872
1241.565848	2.413420
1241.558273	2.399967
1241.550698	2.386515
1241.543123	1.936741
1241.535549	1.486967
1241.527974	1.037193
1241.520399	0.587419
1241.512824	0.012981
1241.505249	-0.561456
1241.497675	-1.124206
1241.490100	-1.686955
1241.482525	-1.899090
1241.474950	-1.924230
1241.467375	-2.218175
1241.459801	-2.200461
1241.452226	-1.507904
1241.444651	-0.628352
1241.437076	0.165493
1241.429502	0.959339
1241.421927	1.577877
1241.414352	2.196415
1241.406777	2.814953
1241.399202	3.433493
1241.391628	3.705311
1241.384053	3.977129
1241.376478	4.248947
1241.368903	4.520765
1241.361328	4.792583
1241.353754	5.064402
1241.346179	5.336220
1241.338604	5.608038
1241.331029	5.592791
1241.323455	5.577541
1241.315880	5.562294
1241.308305	5.547047
1241.300730	5.555172
