# This file was generated with SimpNMR v1.6.0 at 15:51:36 16-03-2026 
shift (ppm),intensity (a.u.)
-113.906624,0.000695
-113.904377,0.000695
-113.902131,0.000695
-113.899885,0.000695
-113.897638,0.000695
-113.895392,0.000696
-113.893146,0.000696
-113.890899,0.000696
-113.888653,0.000696
-113.886407,0.000696
-113.884160,0.000696
-113.881914,0.000696
-113.879668,0.000697
-113.877421,0.000697
-113.875175,0.000697
-113.872929,0.000697
-113.870682,0.000697
-113.868436,0.000697
-113.866190,0.000697
-113.863943,0.000698
-113.861697,0.000698
-113.859451,0.000698
-113.857204,0.000698
-113.854958,0.000698
-113.852712,0.000698
-113.850465,0.000698
-113.848219,0.000699
-113.845973,0.000699
-113.843726,0.000699
-113.841480,0.000699
-113.839234,0.000699
-113.836987,0.000699
-113.834741,0.000699
-113.832495,0.000700
-113.830248,0.000700
-113.828002,0.000700
-113.825756,0.000700
-113.823509,0.000700
-113.821263,0.000700
-113.819017,0.000700
-113.816770,0.000701
-113.814524,0.000701
-113.812278,0.000701
-113.810031,0.000701
-113.807785,0.000701
-113.805539,0.000701
-113.803292,0.000701
-113.801046,0.000701
-113.798799,0.000702
-113.796553,0.000702
-113.794307,0.000702
-113.792060,0.000702
-113.789814,0.000702
-113.787568,0.000702
-113.785321,0.000702
-113.783075,0.000703
-113.780829,0.000703
-113.778582,0.000703
-113.776336,0.000703
-113.774090,0.000703
-113.771843,0.000703
-113.769597,0.000703
-113.767351,0.000704
-113.765104,0.000704
-113.762858,0.000704
-113.760612,0.000704
-113.758365,0.000704
-113.756119,0.000704
-113.753873,0.000704
-113.751626,0.000705
-113.749380,0.000705
-113.747134,0.000705
-113.744887,0.000705
-113.742641,0.000705
-113.740395,0.000705
-113.738148,0.000705
-113.735902,0.000706
-113.733656,0.000706
-113.731409,0.000706
-113.729163,0.000706
-113.726917,0.000706
-113.724670,0.000706
-113.722424,0.000706
-113.720178,0.000707
-113.717931,0.000707
-113.715685,0.000707
-113.713439,0.000707
-113.711192,0.000707
-113.708946,0.000707
-113.706700,0.000707
-113.704453,0.000708
-113.702207,0.000708
-113.699961,0.000708
-113.697714,0.000708
-113.695468,0.000708
-113.693222,0.000708
-113.690975,0.000708
-113.688729,0.000709
-113.686482,0.000709
-113.684236,0.000709
-113.681990,0.000709
-113.679743,0.000709
-113.677497,0.000709
-113.675251,0.000709
-113.673004,0.000710
-113.670758,0.000710
-113.668512,0.000710
-113.666265,0.000710
-113.664019,0.000710
-113.661773,0.000710
-113.659526,0.000710
-113.657280,0.000711
-113.655034,0.000711
-113.652787,0.000711
-113.650541,0.000711
-113.648295,0.000711
-113.646048,0.000711
-113.643802,0.000711
-113.641556,0.000712
-113.639309,0.000712
-113.637063,0.000712
-113.634817,0.000712
-113.632570,0.000712
-113.630324,0.000712
-113.628078,0.000712
-113.625831,0.000713
-113.623585,0.000713
-113.621339,0.000713
-113.619092,0.000713
-113.616846,0.000713
-113.614600,0.000713
-113.612353,0.000714
-113.610107,0.000714
-113.607861,0.000714
-113.605614,0.000714
-113.603368,0.000714
-113.601122,0.000714
-113.598875,0.000714
-113.596629,0.000715
-113.594383,0.000715
-113.592136,0.000715
-113.589890,0.000715
-113.587644,0.000715
-113.585397,0.000715
-113.583151,0.000715
-113.580905,0.000716
-113.578658,0.000716
-113.576412,0.000716
-113.574166,0.000716
-113.571919,0.000716
-113.569673,0.000716
-113.567426,0.000716
-113.565180,0.000717
-113.562934,0.000717
-113.560687,0.000717
-113.558441,0.000717
-113.556195,0.000717
-113.553948,0.000717
-113.551702,0.000717
-113.549456,0.000718
-113.547209,0.000718
-113.544963,0.000718
-113.542717,0.000718
-113.540470,0.000718
-113.538224,0.000718
-113.535978,0.000718
-113.533731,0.000719
-113.531485,0.000719
-113.529239,0.000719
-113.526992,0.000719
-113.524746,0.000719
-113.522500,0.000719
-113.520253,0.000720
-113.518007,0.000720
-113.515761,0.000720
-113.513514,0.000720
-113.511268,0.000720
-113.509022,0.000720
-113.506775,0.000720
-113.504529,0.000721
-113.502283,0.000721
-113.500036,0.000721
-113.497790,0.000721
-113.495544,0.000721
-113.493297,0.000721
-113.491051,0.000721
-113.488805,0.000722
-113.486558,0.000722
-113.484312,0.000722
-113.482066,0.000722
-113.479819,0.000722
-113.477573,0.000722
-113.475327,0.000722
-113.473080,0.000723
-113.470834,0.000723
-113.468588,0.000723
-113.466341,0.000723
-113.464095,0.000723
-113.461849,0.000723
-113.459602,0.000724
-113.457356,0.000724
-113.455109,0.000724
-113.452863,0.000724
-113.450617,0.000724
-113.448370,0.000724
-113.446124,0.000724
-113.443878,0.000725
-113.441631,0.000725
-113.439385,0.000725
-113.437139,0.000725
-113.434892,0.000725
-113.432646,0.000725
-113.430400,0.000725
-113.428153,0.000726
-113.425907,0.000726
-113.423661,0.000726
-113.421414,0.000726
-113.419168,0.000726
-113.416922,0.000726
-113.414675,0.000726
-113.412429,0.000727
-113.410183,0.000727
-113.407936,0.000727
-113.405690,0.000727
-113.403444,0.000727
-113.401197,0.000727
-113.398951,0.000728
-113.396705,0.000728
-113.394458,0.000728
-113.392212,0.000728
-113.389966,0.000728
-113.387719,0.000728
-113.385473,0.000728
-113.383227,0.000729
-113.380980,0.000729
-113.378734,0.000729
-113.376488,0.000729
-113.374241,0.000729
-113.371995,0.000729
-113.369749,0.000729
-113.367502,0.000730
-113.365256,0.000730
